raw_line
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"126164,0.183289,-0.000281,-0.002936,0.983055,0.011011,-0.001639,1.010324,-0.006072,-0.009409,0.014440,0.000000,0.000000,0.000000"
"126206,0.183725,0.000022,-0.003519,0.982971,0.009724,-0.001510,1.006920,-0.020458,-0.001256,0.006029,-54.000000,-24.000000,30.000000"
"126243,0.183606,0.007829,0.005389,0.982954,0.006439,0.001656,1.012384,-0.017798,0.008117,0.007040,0.000000,0.000000,0.000000"
"126281,0.183495,0.002545,-0.004693,0.983006,0.009173,-0.002191,1.007372,0.003351,0.017471,0.003339,0.000000,0.000000,0.000000"
"126325,0.183285,0.002475,-0.004166,0.983048,0.011308,0.001447,1.010885,0.007393,0.013459,0.004792,-55.000000,-21.000000,25.000000"
"126363,0.183173,0.012282,0.001348,0.983003,0.012065,-0.002614,1.008697,-0.007489,0.005436,0.008283,0.000000,0.000000,0.000000"
"126407,0.183419,0.012029,0.000941,0.982961,0.010537,0.003051,1.010671,-0.009759,-0.006147,0.012355,-53.000000,-23.000000,20.000000"
"126437,0.183101,0.001262,-0.002771,0.983089,0.011595,-0.000480,1.008551,0.002304,-0.001209,0.015768,0.000000,0.000000,0.000000"
"126479,0.182937,0.012387,0.002031,0.983045,0.011229,-0.000027,1.008363,0.008669,0.004092,0.009448,0.000000,0.000000,0.000000"
"126523,0.183547,0.011909,0.001561,0.982938,0.011412,-0.000915,1.008589,0.002304,0.008559,0.008693,-54.000000,-25.000000,27.000000"
"126558,0.183370,0.000596,-0.004667,0.983033,0.012204,-0.000776,1.010509,-0.022098,-0.007316,0.006872,0.000000,0.000000,0.000000"
"126600,0.183366,0.001189,-0.004632,0.983033,0.010667,0.004328,1.011678,-0.007201,-0.016526,0.012772,-53.000000,-22.000000,28.000000"
"126637,0.183125,0.009839,0.002763,0.983036,0.010270,-0.000959,1.008633,-0.002572,-0.003113,0.015083,0.000000,0.000000,0.000000"
"126677,0.183052,0.001529,-0.005599,0.983086,0.011257,-0.001244,1.009566,-0.014836,0.001166,0.001424,0.000000,0.000000,0.000000"
"126714,0.183245,0.002091,-0.005444,0.983050,0.011056,0.002041,1.010713,0.005784,-0.014372,0.016934,-52.000000,-23.000000,25.000000"
"126751,0.183171,0.008903,0.003614,0.983034,0.010008,-0.002280,1.006931,-0.003956,0.003781,0.006676,0.000000,0.000000,0.000000"
"126795,0.183827,0.008455,0.003242,0.982917,0.011128,0.000021,1.009003,0.006474,0.015116,0.000695,-54.000000,-24.000000,25.000000"
"126835,0.183529,0.002497,-0.007465,0.982983,0.012404,-0.000087,1.010962,0.002472,0.001668,0.011369,0.000000,0.000000,0.000000"
"126873,0.183449,0.008099,0.002439,0.982993,0.011255,-0.002755,1.008429,-0.019961,-0.007146,0.007588,0.000000,0.000000,0.000000"
"126916,0.183297,0.007937,0.002035,0.983023,0.010783,0.001019,1.009877,-0.012164,-0.001452,0.009801,-54.000000,-21.000000,23.000000"
"126956,0.182995,0.001696,-0.007575,0.983083,0.011296,-0.002004,1.009432,0.000905,0.000005,0.012740,0.000000,0.000000,0.000000"
"126995,0.183326,0.002108,-0.007771,0.983019,0.011066,-0.000424,1.010587,-0.014722,-0.011491,0.013498,-51.000000,-23.000000,23.000000"
"127027,0.183068,0.006443,0.003672,0.983072,0.009243,-0.001122,1.006438,-0.018021,-0.006419,0.015316,0.000000,0.000000,0.000000"
"127073,0.182711,0.003057,-0.008601,0.983124,0.010568,0.000473,1.008039,-0.006670,-0.003582,0.014133,0.000000,0.000000,0.000000"
"127117,0.182544,0.003103,-0.008048,0.983160,0.009862,0.000951,1.009825,0.000954,0.003616,0.008963,-53.000000,-21.000000,27.000000"
"127154,0.182359,0.007161,0.003582,0.983199,0.011080,-0.002443,1.008489,0.001122,0.002879,0.012588,0.000000,0.000000,0.000000"
"127198,0.183013,0.007088,0.002700,0.983081,0.011827,0.000009,1.009620,-0.018641,-0.000466,0.003162,-53.000000,-24.000000,23.000000"
"127234,0.182775,0.000846,-0.007322,0.983127,0.010749,0.002632,1.011088,-0.024494,-0.015565,0.010242,0.000000,0.000000,0.000000"
